CustomerId,_merge,FirstName_Customer,FirstName_Customer_New,FirstName_Changed,LastName_Customer,LastName_Customer_New,LastName_Changed,Fax_Customer,Fax_Customer_New,Fax_Changed,Email_Customer,Email_Customer_New,Email_Changed,SupportRepId_Customer,SupportRepId_Customer_New,SupportRepId_Changed
1,left_only,Luís,,<<red>>YES<</red>>,Gonçalves,,<<red>>YES<</red>>,+55 (12) 3923-5566,,<<red>>YES<</red>>,luisg@embraer.com.br,,<<red>>YES<</red>>,3,,<<red>>YES<</red>>
2,both,Leonie,Leonie,,Köhler,Köhler,,,,,leonekohler@surfeu.de,puwadon.changed@mail.com,<<red>>YES<</red>>,5,5.0,
3,both,François,François,,Tremblay,Tremblay,,,,,ftremblay@gmail.com,ftremblay@gmail.com,,3,3.0,
4,both,Bjørn,Bjørn,,Hansen,Hansen,,,,,bjorn.hansen@yahoo.no,bjorn.hansen@yahoo.no,,4,4.0,
5,both,František,František,,Wichterlová,Wichterlová,,+420 2 4172 5555,+420 2 4172 5555,,frantisekw@jetbrains.com,frantisekw@jetbrains.com,,4,4.0,
6,both,Helena,Helena,,Holý,Holý,,,,,hholy@gmail.com,hholy@gmail.com,,5,5.0,
7,both,Astrid,Astrid,,Gruber,Gruber,,,,,astrid.gruber@apple.at,astrid.gruber@apple.at,,5,5.0,
8,both,Daan,Daan,,Peeters,Peeters,,,,,daan_peeters@apple.be,daan_peeters@apple.be,,4,4.0,
9,both,Kara,Kara,,Nielsen,Nielsen,,,,,kara.nielsen@jubii.dk,kara.nielsen@jubii.dk,,4,4.0,
10,both,Eduardo,Eduardo,,Martins,Martins,,+55 (11) 3033-4564,+55 (11) 3033-4564,,eduardo@woodstock.com.br,eduardo@woodstock.com.br,,4,4.0,
11,both,Alexandre,Alexandre,,Rocha,Rocha,,+55 (11) 3055-8131,+55 (11) 3055-8131,,alero@uol.com.br,alero@uol.com.br,,5,5.0,
12,both,Roberto,Roberto,,Almeida,Almeida,,+55 (21) 2271-7070,+55 (21) 2271-7070,,roberto.almeida@riotur.gov.br,roberto.almeida@riotur.gov.br,,3,3.0,
